"Zip/Postal Code","CEP"
"State/Province","Estado"
"Billing address","Endereço de Cobrança"
"Already registered? Click here to login.","Já é cadastrado? Clique aqui para logar."
"Create an account for later use","Criar uma conta na loja"
"Ship to the same address","Entregar no mesmo endereço"
"Shipping method","Método de Entrega"
"Payment method","Método de Pagamento"
"Review your order","Revise seu Pedido"
"Product","Produto"
"Qty","Qtd"
"Subtotal","Subtotal"
"Subscribe to our newsletter","Assine nossa newsletter"
"Tax","Impostos"
"Grand total","Total Geral"
"Please choose a shipping method.","Por favor, escolha um método de entrega."
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"Please enter valid details below.","Por favor, entre com detalhes válidos abaixo."
"Please check red fields below and try again.","Por favor, verifique os campos em vermelho abaixo."
"Login","Login"
"Please login with your email address and password.","Por favor, faça o login com seu e-mail e senha."
"Email address","E-mail"
"Password","Senha"
"Confirm password","Confirmar Senha"
"Forgotten your password?","Esqueceu sua senha?"
"Close","Fechar"
"Login","Login"
"Please enter a username and password.","Por favor, entre com um nome de usuário e senha."
"Invalid login or password.","Login ou senha inválidos."
"Enter your email below and we'll send you a new password by email.","Digite seu e-mail abaixo e lhe enviaremos uma nova senha por e-mail."
"Send password","Enviar Senha"
"Return to login","Voltar ao Login"
"Please enter a valid email address","Por favor, digite um e-mail válido"
"Please enter a registered email address.","Por favor, digite um e-mail cadastrado."
"Invalid email address.","E-mail inválido."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>"
"Comments","Comentários"
"You need to have products in your cart to checkout, and your cart is empty.","Seu carrinho está vazio no momento."
"Back to homepage","Voltar á home"
"Coupon code:","Código do cupom:"
"Apply Coupon","Aplicar cupom"
"Please enter a valid coupon code.","Por favor, digite um código de cupom válido."
"Cancel Coupon","Cancelar Cupom"
"Shipping address","Endereço de Entrega"
"How did you hear about us?","Como nos encontrou?"
"Please choose","Por favor, escolha"
"Other","Outro"
"Please specify:","Por favor, especifique:"
"Exclude/include fields","Remover/Incuir Campos"
"How did you hear about us?","Como nos encontrou?"
"Registration","Cadastro"
"Display order of fields","Mostrar ordem dos campos"
"AJAX update shipping/payment methods","Atualizar métodos de entrega/pagamento via AJAX"
"Redirect clients to checkout after adding a product to the cart","Redirecionar os clientes para o checkout ao adicionar um produto ao carrinho?"
"Extra products (Gift wrap, Rush delivery, etc)","Produtos Extra (embrulho para presente, entrega rápida, etc)"
"Order preview / Order confirmation window","Pré-visualização do pedido / Janela de Confirmação do Pedido"
"Activate SmartCheckout","Ativar o SmartCheckout"
"Default country","País Padrão"
"Default State/Region","Estado Padrão"
"Default City","Cidade Padrão"
"Default Postcode","CEP Padrão"
"Default shipping method","Método de Entrega Padrão"
"Select shipping method if only one available","Selecionar método de entrega caso apenas um esteja disponível"
"Hide shipping method","Ocultar Método de Entrega"
"Default payment method","Método de Pagamento Padrão"
"Hide payment method","Ocultar Método de Pagamento"
"Checkout title","Título da Página de Checkout"
"Checkout description","Descrição da Página de Checkout"
"Skin (theme)","Skin (tema)"
"Enable different shipping address","Habilitar Endereço de Entrega Diferente"
"Hide different shipping address","Ocultar Endereço de Entrega Diferente"
"Enable gift messages","Permitir Mensagens de Presente"
"Enable GeoIP","Habilitar GeoIP"
"Hide non-free payment methods for zero value order","Ocultar métodos de entrega com valores maiores que zero para pedidos zerados"
"Show product options","Mostrar as Opções do Produto"
"Display amounts incl. tax","Exibir Totais com Imposto Incluso"
"Display full tax summary","Exibir Resumo Completo de Impostos"
"Show Magento Checkout Terms and Conditions","Mostrar Termos e Condições do Checkout do Magento"
"See old configuration","Visualizar Configuração Antiga"
"Enable order preview","Habilitar Pré-visualização do Pedido"
"Billing Address block (HTML)","Bloco de Endereço de Cobrança (HTML)"
"Shipping Address block (HTML)","Bloco de Endereço de Entrega (HTML)"
"Product ID's","ID's dos Produtos"